sale_date,product_id,product_name,category,quantity,unit_price
2024-10-01,P001,Laptop,Electronics,2,999.99
2024-10-01,P002,Mouse,Electronics,5,29.99
2024-10-02,P001,Laptop,Electronics,1,999.99
2024-10-02,P003,Keyboard,Electronics,3,79.99
2024-10-03,P002,Mouse,Electronics,8,29.99
2024-10-03,P004,Monitor,Electronics,2,299.99
2024-10-04,P001,Laptop,Electronics,3,999.99
2024-10-05,P005,Desk,Furniture,1,399.99
2024-10-05,P002,Mouse,Electronics,10,29.99
2024-10-06,P001,Laptop,Electronics,1,999.99
2024-10-07,P003,Keyboard,Electronics,5,79.99
2024-10-08,P004,Monitor,Electronics,4,299.99
2024-10-09,P001,Laptop,Electronics,2,999.99
2024-10-10,P002,Mouse,Electronics,15,29.99
2024-10-11,P005,Desk,Furniture,2,399.99
2024-10-12,P001,Laptop,Electronics,1,999.99
2024-10-13,P003,Keyboard,Electronics,7,79.99
2024-10-14,P002,Mouse,Electronics,12,29.99
